"id","ip","scandate","virustotalurl","virustotalbool","virustotalextra","shodanports","abuseipdburl","abuseipdbcats","abuseipdbscore","abuseipdbbool","apilitybool","myipbool","checkedbool","susbool"
"1","97.75.162.34","2018-11-27 21:34:18.730000","https://www.virustotal.com/url/b3341655f2322bba793943b8392708a68669cce3db2490636cfa81e0755cfd6b/analysis/1543372294/","False","0/66","[2000, 53, 1723, 80, 22]","https://www.abuseipdb.com/check/97.75.162.34","","","True","True","","False","True"
"2","95.87.14.47","2018-11-27 21:35:11.228000","https://www.virustotal.com/url/e802d2aefb0d20ebc8e81c8eec09d1f96daa65259a0aa084e76bea7cf65f6205/analysis/1490936604/","False","0/64","[80, 8001, 1723, 2000, 22]","https://www.abuseipdb.com/check/95.87.14.47","DDos Attack,Web App Attack,","38","True","True","","False","True"
"3","95.84.168.111","2018-11-27 21:36:03.870000","","","/","[53, 2000, 22]","https://www.abuseipdb.com/check/95.84.168.111","Email Spam,","4","True","True","","False","True"
"4","95.80.254.119","2018-11-27 21:36:56.428000","https://www.virustotal.com/url/ef3cf9326e1d215ce90271753c1504aaea15d5a0b4b547c8ae62b3b8b65d9051/analysis/1528156882/","False","0/67","[80, 2000]","https://www.abuseipdb.com/check/95.80.254.119","DDos Attack,Web App Attack,","24","True","True","","False","True"
"5","95.79.233.197","2018-11-27 21:37:48.815000","","","/","None","https://www.abuseipdb.com/check/95.79.233.197","","","True","True","","False","True"
"6","95.222.116.14","2018-11-27 21:38:40.983000","","","/","None","https://www.abuseipdb.com/check/95.222.116.14","","N/A","False","False","","False","False"
"7","95.218.253.122","2018-11-27 21:39:34.974000","","","/","[7547]","https://www.abuseipdb.com/check/95.218.253.122","","N/A","False","False","","False","False"
"8","95.215.159.82","2018-11-27 21:40:27.772000","","","/","[8080, 37777, 2000]","https://www.abuseipdb.com/check/95.215.159.82","","","True","True","","False","True"
"9","95.189.112.214","2018-11-27 21:41:20.335000","","","/","[53, 2000, 25]","https://www.abuseipdb.com/check/95.189.112.214","DDos Attack,Web App Attack,","25","True","True","","False","True"
"10","95.170.202.194","2018-11-27 21:42:12.717000","https://www.virustotal.com/url/9d39589a7dfe2bcec8c0f76ea808d84ab43df97c7b2b0cd221a95281ddefb207/analysis/1473038829/","False","0/68","[21, 2000, 1723, 53, 80]","https://www.abuseipdb.com/check/95.170.202.194","Email Spam,Brute-Force,","44","True","True","","False","True"
"11","95.167.123.54","2018-11-27 21:43:05.419000","","","/","[2000, 22]","https://www.abuseipdb.com/check/95.167.123.54","DDos Attack,Web App Attack,","33","True","True","","False","True"
"12","95.165.182.18","2018-11-27 21:43:57.999000","","","/","[53, 2000]","https://www.abuseipdb.com/check/95.165.182.18","DDos Attack,Web App Attack,","27","True","True","","False","True"
"13","95.156.95.158","2018-11-27 21:44:51.713000","","","/","[53, 2000, 80]","https://www.abuseipdb.com/check/95.156.95.158","","","True","True","","False","True"
"14","95.130.35.88","2018-11-27 21:45:44.173000","","","/","[554, 2000, 1723, 53, 80, 88, 5800]","https://www.abuseipdb.com/check/95.130.35.88","","","True","True","","False","True"
"15","95.128.142.106","2018-11-27 21:46:36.713000","","","/","[443, 1723, 53, 2000, 8080]","https://www.abuseipdb.com/check/95.128.142.106","DDos Attack,Web App Attack,","31","True","True","","False","True"
"16","95.105.252.74","2018-11-27 21:47:29.878000","https://www.virustotal.com/url/fb659edb6e31ddf2152a94c5b24213ebfb0f9956279c730a2271bc9d0eed6f03/analysis/1526886004/","False","0/67","[82, 443, 1723, 22, 500]","https://www.abuseipdb.com/check/95.105.252.74","Web App Attack,","53","True","True","","False","True"
"17","94.69.86.231","2018-11-27 21:48:22.182000","","","/","None","https://www.abuseipdb.com/check/94.69.86.231","","N/A","False","False","","False","False"
"18","94.52.178.196","2018-11-27 21:49:14.411000","","","/","None","https://www.abuseipdb.com/check/94.52.178.196","","N/A","False","True","","False","True"
"19","94.46.176.210","2018-11-27 21:50:08.462000","https://www.virustotal.com/url/c04ae8aeb31b27c1f329ec507130d7ace4c0d48ffe9c9d47ce992209c5ee14a1/analysis/1487177520/","False","0/64","[8080, 443, 80, 2083, 25, 587, 2087, 465, 110, 3306, 22, 2082, 9443, 143, 53, 2086]","https://www.abuseipdb.com/check/94.46.176.210","DDos Attack,Web App Attack,","20","True","True","","False","True"
"20","94.253.8.118","2018-11-27 21:51:02.095000","https://www.virustotal.com/url/9aaab11d4f59a760db39c110e3627fd27245c7317347daac2bcafbad7c133e12/analysis/1524779554/","False","0/67","[21, 22, 3306, 5222, 587, 27015, 80, 993, 443, 143, 110, 995]","https://www.abuseipdb.com/check/94.253.8.118","Web App Attack,","74","True","True","","False","True"
"21","94.244.56.190","2018-11-27 21:51:54.480000","https://www.virustotal.com/url/1b009f0bf5f2300f7b53100eaff2e643bdd2c7c52c2195f2c7d6cea8a73ff56d/analysis/1541910335/","True","1/70","[22, 21]","https://www.abuseipdb.com/check/94.244.56.190","Brute-Force,","83","True","True","","False","True"
