ID,IP,Time,Virus Total Bool,Abuse IPDB Bool,Apility Bool,MyIp Bool,,,,,
1,97.75.162.34,34:18.7,FALSE,TRUE,TRUE,TRUE,,,,,
2,95.87.14.47,35:11.2,FALSE,TRUE,TRUE,FALSE,,,,,
3,95.84.168.111,36:03.9,FALSE,TRUE,TRUE,TRUE,,,,,
4,95.80.254.119,36:56.4,FALSE,TRUE,TRUE,TRUE,,Stats,,,
5,95.79.233.197,37:48.8,FALSE,TRUE,TRUE,FALSE,,Virus Total True:,162,,Limit 4 reqests/min
6,95.222.116.14,38:41.0,FALSE,FALSE,FALSE,FALSE,,Virus Total False:,1182,,
7,95.218.253.122,39:35.0,FALSE,FALSE,FALSE,FALSE,,Virus Total Amount:,1344,,
8,95.215.159.82,40:27.8,FALSE,TRUE,TRUE,TRUE,,,,,
9,95.189.112.214,41:20.3,FALSE,TRUE,TRUE,FALSE,,Abuse IPDB True:,731,,"Limit 10,000/month"
10,95.170.202.194,42:12.7,FALSE,TRUE,TRUE,FALSE,,Abuse IPDB False:,855,,
11,95.167.123.54,43:05.4,FALSE,TRUE,TRUE,TRUE,,Abuse IPDB Total:,1586,,
12,95.165.182.18,43:58.0,FALSE,TRUE,TRUE,FALSE,,,,,
13,95.156.95.158,44:51.7,FALSE,TRUE,TRUE,FALSE,,Apility True:,400,,Limit 250 request/day
14,95.130.35.88,45:44.2,FALSE,TRUE,TRUE,FALSE,,Apility False:,145,,
15,95.128.142.106,46:36.7,FALSE,TRUE,TRUE,TRUE,,Apility Total:,545,,
16,95.105.252.74,47:29.9,FALSE,TRUE,TRUE,FALSE,,,,,
17,94.69.86.231,48:22.2,FALSE,FALSE,FALSE,FALSE,,My IP True:,24,,Limit 150 requests/month
18,94.52.178.196,49:14.4,FALSE,FALSE,TRUE,FALSE,,My IP False:,124,,
19,94.46.176.210,50:08.5,FALSE,TRUE,TRUE,FALSE,,,,,
20,94.253.8.118,51:02.1,FALSE,TRUE,TRUE,FALSE,,,,,
21,94.244.56.190,51:54.5,TRUE,TRUE,TRUE,FALSE,,,,,
22,94.232.57.231,52:48.3,FALSE,TRUE,TRUE,TRUE,,,,,
23,94.231.182.66,53:40.5,FALSE,TRUE,TRUE,TRUE,,,,,
24,94.23.46.129,54:33.6,FALSE,TRUE,TRUE,FALSE,,,,,
25,94.23.250.16,55:28.3,FALSE,TRUE,TRUE,FALSE,,,,,
26,94.23.156.20,56:20.8,FALSE,TRUE,TRUE,FALSE,,,,,
27,94.181.46.207,57:21.8,FALSE,FALSE,TRUE,TRUE,,,,,
28,94.130.92.60,58:15.1,FALSE,TRUE,TRUE,FALSE,,,,,
29,94.100.61.89,59:07.3,FALSE,FALSE,FALSE,FALSE,,,,,
30,93.61.73.115,59:59.9,FALSE,TRUE,TRUE,FALSE,,,,,
31,93.42.199.78,00:52.4,FALSE,TRUE,TRUE,FALSE,,,,,
32,178.137.87.242,01:47.0,FALSE,FALSE,FALSE,FALSE,,,,,
33,46.148.22.18,02:39.9,FALSE,FALSE,TRUE,FALSE,,,,,
34,201.18.18.173,03:32.1,TRUE,FALSE,FALSE,FALSE,,,,,
35,46.148.18.162,04:24.4,FALSE,FALSE,TRUE,FALSE,,,,,
36,37.187.129.166,05:18.7,TRUE,TRUE,TRUE,TRUE,,,,,
37,91.200.12.91,06:11.6,TRUE,FALSE,TRUE,FALSE,,,,,
38,89.234.157.254,07:04.3,TRUE,TRUE,TRUE,TRUE,,,,,
39,195.154.241.166,07:59.2,FALSE,FALSE,FALSE,FALSE,,,,,
40,176.126.252.12,08:51.4,TRUE,TRUE,TRUE,TRUE,,,,,
41,77.247.181.165,09:44.1,FALSE,TRUE,TRUE,TRUE,,,,,
42,213.251.182.110,10:36.5,FALSE,TRUE,TRUE,FALSE,,,,,
43,176.10.104.240,11:29.1,TRUE,TRUE,TRUE,TRUE,,,,,
44,195.154.250.216,12:21.5,FALSE,FALSE,FALSE,FALSE,,,,,
45,213.251.182.115,13:13.8,TRUE,TRUE,TRUE,FALSE,,,,,
46,195.154.243.31,14:09.1,FALSE,FALSE,FALSE,FALSE,,,,,
47,192.42.116.16,15:01.5,TRUE,TRUE,TRUE,TRUE,,,,,
48,195.154.241.119,15:54.1,FALSE,FALSE,FALSE,FALSE,,,,,
49,195.154.240.176,16:46.4,FALSE,FALSE,FALSE,FALSE,,,,,
50,195.154.251.120,17:38.6,FALSE,FALSE,FALSE,FALSE,,,,,
51,195.154.240.246,18:31.3,FALSE,FALSE,FALSE,FALSE,,,,,
52,120.203.25.58,19:24.0,FALSE,TRUE,TRUE,FALSE,,,,,
53,85.25.103.119,20:18.3,TRUE,FALSE,TRUE,FALSE,,,,,
54,188.138.9.49,21:11.2,TRUE,FALSE,TRUE,FALSE,,,,,
55,58.62.55.130,22:04.1,TRUE,TRUE,TRUE,FALSE,,,,,
56,213.251.182.111,22:56.7,TRUE,TRUE,TRUE,FALSE,,,,,
57,185.129.148.203,23:49.3,TRUE,FALSE,FALSE,FALSE,,,,,
58,213.251.182.114,24:41.5,FALSE,TRUE,TRUE,FALSE,,,,,
59,176.126.252.11,25:33.8,TRUE,TRUE,TRUE,TRUE,,,,,
60,91.207.7.54,26:25.9,FALSE,FALSE,TRUE,FALSE,,,,,
61,5.79.68.161,27:18.5,FALSE,TRUE,TRUE,FALSE,,,,,
62,88.80.196.2,28:11.1,FALSE,FALSE,TRUE,FALSE,,,,,
63,220.174.209.154,29:04.7,FALSE,TRUE,TRUE,FALSE,,,,,
64,46.118.156.191,29:57.2,FALSE,FALSE,FALSE,FALSE,,,,,
65,210.210.178.20,30:50.5,FALSE,FALSE,FALSE,FALSE,,,,,
66,91.208.99.2,31:42.9,FALSE,TRUE,TRUE,FALSE,,,,,
67,60.12.119.200,32:38.3,FALSE,FALSE,FALSE,FALSE,,,,,
68,92.63.87.97,33:30.4,FALSE,FALSE,FALSE,FALSE,,,,,
69,46.165.230.5,34:23.0,FALSE,TRUE,TRUE,TRUE,,,,,
70,37.130.227.133,35:15.1,FALSE,FALSE,TRUE,FALSE,,,,,
71,94.242.246.23,36:07.9,TRUE,FALSE,TRUE,FALSE,,,,,
72,60.166.48.158,37:00.2,FALSE,TRUE,TRUE,FALSE,,,,,
73,89.31.57.5,37:52.8,FALSE,TRUE,TRUE,TRUE,,,,,
74,173.208.177.59,38:54.2,FALSE,FALSE,TRUE,FALSE,,,,,
75,91.109.247.173,39:46.7,FALSE,FALSE,TRUE,FALSE,,,,,
76,77.247.181.162,40:39.1,TRUE,FALSE,TRUE,FALSE,,,,,
77,77.247.181.163,41:31.6,TRUE,TRUE,TRUE,TRUE,,,,,
78,1.234.83.77,42:23.8,FALSE,FALSE,TRUE,FALSE,,,,,
79,61.150.76.201,43:16.4,FALSE,TRUE,TRUE,FALSE,,,,,
80,194.150.168.95,44:08.6,FALSE,FALSE,TRUE,FALSE,,,,,
81,118.144.83.130,45:09.1,FALSE,TRUE,TRUE,FALSE,,,,,
82,61.37.150.6,46:01.6,FALSE,TRUE,TRUE,FALSE,,,,,
83,219.148.39.134,46:54.7,FALSE,TRUE,TRUE,FALSE,,,,,
84,213.251.182.103,47:47.1,TRUE,TRUE,TRUE,FALSE,,,,,
85,114.104.158.172,48:39.6,FALSE,TRUE,TRUE,FALSE,,,,,
86,94.242.246.24,49:32.0,FALSE,FALSE,TRUE,FALSE,,,,,
87,218.107.46.228,50:24.7,FALSE,TRUE,TRUE,FALSE,,,,,
88,188.143.233.136,51:17.3,FALSE,FALSE,TRUE,FALSE,,,,,
89,61.185.139.72,52:11.2,FALSE,TRUE,TRUE,FALSE,,,,,
90,213.251.182.105,53:03.3,FALSE,TRUE,TRUE,TRUE,,,,,
91,80.255.192.237,53:59.1,FALSE,FALSE,FALSE,FALSE,,,,,
92,60.174.192.240,54:55.1,TRUE,TRUE,TRUE,FALSE,,,,,
93,222.92.204.50,55:47.6,FALSE,TRUE,TRUE,FALSE,,,,,
94,213.60.51.127,56:39.7,FALSE,FALSE,FALSE,FALSE,,,,,
95,91.200.12.22,57:32.0,FALSE,FALSE,TRUE,FALSE,,,,,
96,221.130.130.238,58:24.5,FALSE,TRUE,TRUE,FALSE,,,,,
97,207.244.70.35,59:16.6,FALSE,TRUE,TRUE,TRUE,,,,,
98,91.200.12.50,00:12.6,FALSE,FALSE,TRUE,FALSE,,,,,
99,35.0.127.52,01:06.4,TRUE,TRUE,TRUE,TRUE,,,,,
100,213.251.182.107,01:58.7,TRUE,TRUE,TRUE,FALSE,,,,,
101,91.200.12.86,02:51.2,TRUE,FALSE,TRUE,FALSE,,,,,
102,58.213.133.18,03:43.7,FALSE,TRUE,TRUE,FALSE,,,,,
103,176.31.51.199,04:36.1,FALSE,FALSE,TRUE,FALSE,,,,,
104,176.10.104.243,05:29.1,TRUE,FALSE,TRUE,FALSE,,,,,
105,218.29.52.2,06:24.2,FALSE,TRUE,TRUE,FALSE,,,,,
106,91.200.12.65,07:16.5,FALSE,FALSE,TRUE,FALSE,,,,,
107,171.25.193.20,08:09.4,FALSE,TRUE,TRUE,TRUE,,,,,
108,155.133.82.112,09:01.6,FALSE,FALSE,FALSE,FALSE,,,,,
109,83.96.132.85,09:54.0,FALSE,FALSE,FALSE,FALSE,,,,,
110,46.118.155.165,10:46.4,FALSE,TRUE,TRUE,FALSE,,,,,
111,185.92.72.33,11:39.1,FALSE,FALSE,FALSE,FALSE,,,,,
112,183.65.17.118,12:35.0,FALSE,TRUE,TRUE,FALSE,,,,,
113,218.22.187.66,13:28.1,TRUE,TRUE,TRUE,FALSE,,,,,
114,115.238.247.228,14:20.9,FALSE,TRUE,TRUE,FALSE,,,,,
115,222.191.233.238,15:14.4,FALSE,TRUE,TRUE,FALSE,,,,,
116,123.138.78.210,16:08.0,FALSE,TRUE,TRUE,FALSE,,,,,
117,58.214.24.53,17:00.8,FALSE,TRUE,TRUE,FALSE,,,,,
118,223.220.248.78,17:52.9,FALSE,FALSE,FALSE,FALSE,,,,,
119,61.233.18.34,18:49.7,FALSE,TRUE,TRUE,FALSE,,,,,
120,178.217.187.39,19:41.9,TRUE,FALSE,TRUE,FALSE,,,,,
121,61.186.219.33,20:34.6,FALSE,TRUE,FALSE,FALSE,,,,,
122,220.171.28.146,21:27.5,TRUE,FALSE,FALSE,FALSE,,,,,
123,221.4.205.30,22:20.8,FALSE,TRUE,TRUE,FALSE,,,,,
124,222.185.255.227,23:13.9,FALSE,TRUE,TRUE,FALSE,,,,,
125,58.244.173.130,24:08.5,FALSE,TRUE,TRUE,FALSE,,,,,
126,61.158.188.21,25:06.0,FALSE,TRUE,TRUE,FALSE,,,,,
127,222.161.47.82,26:00.9,FALSE,TRUE,TRUE,FALSE,,,,,
128,146.185.223.5,26:53.1,FALSE,FALSE,FALSE,FALSE,,,,,
129,178.137.165.32,27:45.4,FALSE,TRUE,FALSE,FALSE,,,,,
130,117.35.207.102,28:37.9,FALSE,FALSE,FALSE,FALSE,,,,,
131,221.178.192.194,29:30.9,FALSE,TRUE,TRUE,FALSE,,,,,
132,37.115.185.236,30:24.6,FALSE,FALSE,FALSE,FALSE,,,,,
133,222.171.61.97,31:18.8,FALSE,TRUE,TRUE,FALSE,,,,,
134,60.175.71.194,32:11.6,FALSE,TRUE,TRUE,FALSE,,,,,
135,85.10.210.199,33:05.1,FALSE,FALSE,TRUE,FALSE,,,,,
136,58.42.251.184,33:57.7,FALSE,TRUE,TRUE,FALSE,,,,,
137,176.10.99.200,34:51.0,FALSE,TRUE,TRUE,TRUE,,,,,
138,219.142.25.106,35:43.7,FALSE,TRUE,TRUE,FALSE,,,,,
139,112.16.203.48,36:36.7,TRUE,TRUE,TRUE,FALSE,,,,,
140,92.63.87.10,37:33.6,FALSE,FALSE,FALSE,FALSE,,,,,
141,61.153.54.38,38:26.3,FALSE,TRUE,TRUE,FALSE,,,,,
142,108.59.252.133,39:18.4,FALSE,FALSE,TRUE,FALSE,,,,,
143,79.172.193.32,40:11.5,TRUE,FALSE,TRUE,FALSE,,,,,
144,77.109.141.138,41:04.5,FALSE,FALSE,TRUE,FALSE,,,,,
145,61.53.66.4,41:57.0,TRUE,TRUE,TRUE,FALSE,,,,,
146,180.169.58.42,42:49.3,FALSE,TRUE,TRUE,FALSE,,,,,
147,58.210.119.226,43:45.9,FALSE,TRUE,TRUE,FALSE,,,,,
148,220.169.102.6,44:38.6,FALSE,TRUE,TRUE,FALSE,,,,,
149,213.251.182.113,45:31.5,FALSE,TRUE,TRUE,,,,,,
150,220.178.2.114,46:24.2,FALSE,TRUE,TRUE,,,,,,
151,115.84.112.138,47:17.9,FALSE,TRUE,TRUE,,,,,,
152,212.21.66.6,48:10.4,TRUE,TRUE,TRUE,,,,,,
153,60.29.145.218,49:03.1,FALSE,FALSE,FALSE,,,,,,
154,116.249.127.11,49:57.0,FALSE,TRUE,TRUE,,,,,,
155,61.138.246.86,50:49.2,FALSE,FALSE,TRUE,,,,,,
156,61.166.110.62,51:41.3,FALSE,TRUE,FALSE,,,,,,
157,218.201.83.148,52:33.9,TRUE,TRUE,TRUE,,,,,,
158,218.22.180.146,53:27.0,FALSE,TRUE,TRUE,,,,,,
159,221.176.112.45,54:19.8,FALSE,TRUE,TRUE,,,,,,
160,185.65.135.227,55:12.1,FALSE,FALSE,TRUE,,,,,,
161,114.119.10.171,56:07.9,FALSE,TRUE,TRUE,,,,,,
162,121.14.67.3,57:01.8,FALSE,FALSE,FALSE,,,,,,
163,218.22.100.42,57:54.3,FALSE,TRUE,TRUE,,,,,,
164,184.168.112.26,58:46.8,FALSE,FALSE,TRUE,,,,,,
165,195.3.144.84,59:39.2,FALSE,FALSE,FALSE,,,,,,
166,62.141.45.246,00:54.3,FALSE,FALSE,FALSE,,,,,,
167,92.63.91.84,02:03.6,TRUE,FALSE,FALSE,,,,,,
168,188.120.246.106,03:15.6,FALSE,FALSE,TRUE,,,,,,
169,109.163.234.2,04:08.5,TRUE,FALSE,TRUE,,,,,,
170,182.140.131.130,05:01.5,TRUE,TRUE,TRUE,,,,,,
171,37.57.25.225,06:02.3,FALSE,FALSE,FALSE,,,,,,
172,213.251.182.106,06:54.5,TRUE,TRUE,TRUE,,,,,,
173,176.8.89.80,07:46.6,FALSE,FALSE,FALSE,,,,,,
174,60.166.35.162,08:39.4,FALSE,FALSE,FALSE,,,,,,
175,112.24.103.242,09:32.0,FALSE,TRUE,TRUE,,,,,,
176,64.202.240.136,10:25.3,FALSE,FALSE,FALSE,,,,,,
177,61.177.60.140,11:18.4,FALSE,TRUE,TRUE,,,,,,
178,113.204.147.26,12:14.4,FALSE,TRUE,TRUE,,,,,,
179,41.210.223.10,13:06.9,FALSE,TRUE,TRUE,,,,,,
180,109.163.234.4,13:58.9,FALSE,FALSE,TRUE,,,,,,
181,194.90.160.133,14:51.1,FALSE,FALSE,FALSE,,,,,,
182,112.91.59.106,15:44.5,FALSE,TRUE,TRUE,,,,,,
183,178.137.85.67,16:36.8,FALSE,FALSE,FALSE,,,,,,
184,95.241.106.161,17:29.1,FALSE,FALSE,FALSE,,,,,,
185,201.140.110.78,18:25.0,TRUE,TRUE,TRUE,,,,,,
186,120.209.31.231,19:17.4,FALSE,TRUE,TRUE,,,,,,
187,221.176.176.126,20:12.3,FALSE,TRUE,TRUE,,,,,,
188,122.139.5.237,21:05.5,FALSE,TRUE,TRUE,,,,,,
189,210.82.28.41,21:58.8,FALSE,TRUE,TRUE,,,,,,
190,220.225.7.45,22:51.1,FALSE,FALSE,FALSE,,,,,,
191,175.126.62.151,23:43.4,FALSE,FALSE,TRUE,,,,,,
192,185.189.112.165,24:35.8,FALSE,FALSE,FALSE,,,,,,
193,218.64.165.194,25:29.4,FALSE,TRUE,TRUE,,,,,,
194,58.213.46.110,26:22.1,FALSE,TRUE,TRUE,,,,,,
195,218.204.70.20,27:14.6,TRUE,TRUE,TRUE,,,,,,
196,117.28.250.42,28:07.3,FALSE,TRUE,TRUE,,,,,,
197,193.111.136.162,28:59.6,FALSE,FALSE,TRUE,,,,,,
198,218.26.178.146,29:53.9,FALSE,TRUE,TRUE,,,,,,
199,218.26.163.125,30:46.5,FALSE,TRUE,TRUE,,,,,,
200,118.163.135.18,31:39.4,FALSE,TRUE,TRUE,,,,,,
201,185.129.148.205,32:33.2,TRUE,FALSE,FALSE,,,,,,
202,31.210.86.205,33:25.3,FALSE,FALSE,TRUE,,,,,,
203,92.222.113.177,34:17.8,FALSE,FALSE,TRUE,,,,,,
204,218.27.147.130,35:10.2,FALSE,FALSE,FALSE,,,,,,
205,92.222.252.206,36:02.7,FALSE,FALSE,FALSE,,,,,,
206,92.63.87.118,36:55.1,FALSE,FALSE,FALSE,,,,,,
207,211.142.86.210,37:47.8,FALSE,TRUE,TRUE,,,,,,
208,112.26.80.46,38:40.2,FALSE,TRUE,TRUE,,,,,,
209,109.163.234.7,39:32.7,FALSE,FALSE,TRUE,,,,,,
210,134.249.50.185,40:25.1,TRUE,FALSE,FALSE,,,,,,
211,218.87.46.173,41:17.6,FALSE,TRUE,TRUE,,,,,,
212,220.164.193.238,42:10.0,FALSE,TRUE,TRUE,,,,,,
213,146.0.79.23,43:07.0,FALSE,FALSE,TRUE,,,,,,
214,195.154.56.44,43:59.9,FALSE,FALSE,FALSE,,,,,,
215,5.9.36.66,44:53.3,FALSE,FALSE,TRUE,,,,,,
216,184.106.10.128,45:45.9,FALSE,FALSE,TRUE,,,,,,
217,120.209.115.132,46:38.8,FALSE,TRUE,TRUE,,,,,,
218,223.100.152.42,47:31.2,FALSE,TRUE,TRUE,,,,,,
219,61.134.52.164,48:23.4,FALSE,TRUE,TRUE,,,,,,
220,184.168.109.23,49:18.5,FALSE,FALSE,TRUE,,,,,,
221,61.136.104.131,50:11.9,FALSE,TRUE,TRUE,,,,,,
222,61.28.113.58,51:04.7,FALSE,TRUE,TRUE,,,,,,
223,124.193.199.202,51:57.5,FALSE,TRUE,TRUE,,,,,,
224,81.82.223.109,52:49.9,FALSE,TRUE,TRUE,,,,,,
225,190.210.182.93,53:42.4,FALSE,TRUE,TRUE,,,,,,
226,60.166.12.117,54:34.7,FALSE,FALSE,FALSE,,,,,,
227,91.200.12.18,55:32.0,FALSE,FALSE,TRUE,,,,,,
228,111.1.89.230,56:24.6,FALSE,TRUE,TRUE,,,,,,
229,178.137.82.201,57:17.2,FALSE,FALSE,FALSE,,,,,,
230,59.49.176.208,58:09.9,FALSE,TRUE,TRUE,,,,,,
231,189.204.6.157,59:03.8,TRUE,TRUE,TRUE,,,,,,
232,1.255.70.114,59:57.8,TRUE,TRUE,TRUE,,,,,,
233,1.255.70.86,00:50.2,FALSE,TRUE,TRUE,,,,,,
234,1.39.139.21,01:45.5,FALSE,FALSE,FALSE,,,,,,
235,110.17.188.30,02:38.8,TRUE,TRUE,TRUE,,,,,,
236,110.175.16.17,03:31.2,,FALSE,TRUE,,,,,,
237,110.78.146.199,04:27.6,FALSE,FALSE,TRUE,,,,,,
238,110.85.5.135,05:20.5,FALSE,FALSE,FALSE,,,,,,
239,111.113.11.82,06:12.9,FALSE,TRUE,TRUE,,,,,,
240,111.12.150.107,07:09.8,FALSE,TRUE,FALSE,,,,,,
241,111.125.207.161,08:02.7,FALSE,FALSE,FALSE,,,,,,
242,111.199.153.66,08:55.2,,FALSE,FALSE,,,,,,
243,111.231.190.181,09:54.2,FALSE,TRUE,FALSE,,,,,,
244,111.27.56.16,10:47.1,FALSE,FALSE,FALSE,,,,,,
245,111.27.58.142,11:39.6,FALSE,FALSE,FALSE,,,,,,
246,111.27.59.198,12:33.3,FALSE,FALSE,FALSE,,,,,,
247,111.27.59.33,13:25.6,FALSE,FALSE,FALSE,,,,,,
248,111.27.59.85,14:18.1,FALSE,FALSE,FALSE,,,,,,
249,111.38.216.5,15:18.3,FALSE,FALSE,FALSE,,,,,,
250,111.8.150.31,16:10.6,FALSE,TRUE,TRUE,,,,,,
251,111.85.242.210,17:03.3,,FALSE,FALSE,,,,,,
252,112.133.197.18,17:57.8,FALSE,FALSE,TRUE,,,,,,
253,112.215.243.250,18:50.2,FALSE,FALSE,FALSE,,,,,,
254,112.218.211.227,19:43.2,FALSE,TRUE,TRUE,,,,,,
255,112.29.175.223,20:36.0,FALSE,TRUE,TRUE,,,,,,
256,112.91.58.238,21:29.4,FALSE,TRUE,TRUE,,,,,,
257,113.11.13.91,22:22.4,FALSE,FALSE,FALSE,,,,,,
258,113.135.193.217,23:15.1,FALSE,TRUE,TRUE,,,,,,
259,113.160.147.54,24:08.3,FALSE,FALSE,FALSE,,,,,,
260,113.161.148.42,25:00.9,FALSE,FALSE,FALSE,,,,,,
261,113.161.179.200,25:53.6,FALSE,FALSE,FALSE,,,,,,
262,113.161.4.51,26:46.1,TRUE,FALSE,FALSE,,,,,,
263,113.161.46.135,27:38.6,FALSE,TRUE,TRUE,,,,,,
264,113.161.58.148,28:30.8,FALSE,FALSE,FALSE,,,,,,
265,113.161.7.177,29:24.3,FALSE,FALSE,FALSE,,,,,,
266,113.161.70.107,30:17.2,FALSE,FALSE,FALSE,,,,,,
267,113.161.73.34,31:09.9,FALSE,FALSE,FALSE,,,,,,
268,113.162.194.217,32:02.7,FALSE,FALSE,FALSE,,,,,,
269,113.162.5.219,32:55.6,FALSE,FALSE,FALSE,,,,,,
270,113.169.35.182,33:48.3,FALSE,FALSE,FALSE,,,,,,
271,113.169.92.158,34:40.9,FALSE,FALSE,FALSE,,,,,,
272,113.172.2.91,35:33.9,,FALSE,FALSE,,,,,,
273,113.173.31.198,36:27.1,FALSE,FALSE,FALSE,,,,,,
274,113.176.190.158,37:19.7,,FALSE,FALSE,,,,,,
275,113.177.130.64,38:12.7,FALSE,FALSE,FALSE,,,,,,
276,113.177.93.137,39:05.7,FALSE,FALSE,FALSE,,,,,,
277,113.180.14.22,39:58.3,FALSE,FALSE,,,,,,,
278,113.189.97.9,40:50.9,FALSE,FALSE,,,,,,,
279,113.190.232.243,41:43.5,FALSE,FALSE,,,,,,,
280,113.22.121.23,42:37.2,FALSE,FALSE,,,,,,,
281,114.239.109.215,43:29.7,,FALSE,,,,,,,
282,114.79.178.239,44:22.6,FALSE,FALSE,,,,,,,
283,114.99.114.231,45:15.6,,TRUE,,,,,,,
284,115.212.12.159,46:12.9,FALSE,FALSE,,,,,,,
285,115.238.31.114,47:06.3,FALSE,TRUE,,,,,,,
286,115.238.34.226,47:59.3,TRUE,TRUE,,,,,,,
287,115.72.28.248,48:51.9,FALSE,FALSE,,,,,,,
288,116.1.1.165,49:45.2,FALSE,TRUE,,,,,,,
289,116.100.110.7,50:43.7,FALSE,FALSE,,,,,,,
290,116.101.153.96,51:36.5,FALSE,FALSE,,,,,,,
291,116.101.170.90,52:29.3,FALSE,FALSE,,,,,,,
292,116.108.185.203,53:22.2,FALSE,FALSE,,,,,,,
293,116.16.131.231,54:23.3,FALSE,FALSE,,,,,,,
294,116.193.160.195,55:15.9,FALSE,FALSE,,,,,,,
295,116.206.253.2,56:09.5,FALSE,FALSE,,,,,,,
296,116.212.137.235,57:04.8,FALSE,FALSE,,,,,,,
297,116.228.50.194,57:57.7,FALSE,TRUE,,,,,,,
298,116.99.152.43,58:50.5,FALSE,FALSE,,,,,,,
299,117.1.112.26,59:43.9,FALSE,FALSE,,,,,,,
300,117.141.215.16,00:36.7,FALSE,TRUE,,,,,,,
301,117.35.207.100,01:30.0,FALSE,TRUE,,,,,,,
302,117.5.173.73,02:22.8,FALSE,FALSE,,,,,,,
303,118.102.247.34,03:15.4,FALSE,FALSE,,,,,,,
304,118.136.140.60,04:08.6,,FALSE,,,,,,,
305,118.223.102.130,05:01.9,FALSE,FALSE,,,,,,,
306,118.25.0.252,05:54.9,,TRUE,,,,,,,
307,118.68.155.200,06:47.7,FALSE,FALSE,,,,,,,
308,118.68.245.227,07:40.4,FALSE,FALSE,,,,,,,
309,118.69.224.184,08:34.5,FALSE,FALSE,,,,,,,
310,118.69.226.236,09:28.4,FALSE,FALSE,,,,,,,
311,118.70.80.95,10:21.1,FALSE,FALSE,,,,,,,
312,119.145.107.186,11:14.0,FALSE,TRUE,,,,,,,
313,119.146.87.107,12:06.6,FALSE,TRUE,,,,,,,
314,119.153.112.90,12:59.4,FALSE,TRUE,,,,,,,
315,119.50.25.178,13:52.1,FALSE,FALSE,,,,,,,
316,119.6.103.44,14:46.9,TRUE,TRUE,,,,,,,
317,119.79.234.12,15:40.0,FALSE,FALSE,,,,,,,
318,12.5.235.210,16:32.7,FALSE,FALSE,,,,,,,
319,120.188.34.87,17:25.3,FALSE,FALSE,,,,,,,
320,120.194.212.234,18:18.6,FALSE,TRUE,,,,,,,
321,120.56.122.3,19:11.6,FALSE,FALSE,,,,,,,
322,120.63.214.232,20:05.5,,FALSE,,,,,,,
323,120.88.178.142,20:59.9,FALSE,FALSE,,,,,,,
324,121.128.135.73,21:53.2,FALSE,TRUE,,,,,,,
